ge,du
163590,68
4998,68
199834,68
26517,68
58525,68
56957,68
56104,68
5214,68
5395,68
81539,68
834,68
4760,68
10664,68
10672,68
6015,68
27074,68
57129,68
23586,68
90678,68
9329,68
8892,68
23647,67
7903,67
7411,67
8936,67
9181,67
1540,67
8971,67
2873,67
824,67
55755,67
26985,67
5825,67
342371,67
51253,67
5465,67
1212,67
4184,67
51176,67
4313,67
11329,67
8218,67
4723,67
221184,67
8216,67
57379,67
84549,67
5694,67
9043,67
146325,67
55754,67
5529,67
147719,67
5494,67
1326,67
3685,67
440738,67
51130,67
23513,67
6541,67
240,67
3858,67
51225,67
7018,67
5378,67
51647,67
4999,67
11321,67
23201,67
3895,67
4134,66
5817,66
10228,66
6150,66
55746,66
3849,66
29894,66
89953,66
29080,66
23005,66
3635,66
1211,66
8819,66
5268,66
5439,66
8214,66
353133,66
23097,66
57819,66
26088,66
5698,66
6726,66
4007,66
23204,66
4142,66
26073,66
8317,66
8563,66
550,66
4040,66
2965,66
6878,66
10549,66
51608,66
26580,66
59345,66
7051,66
1059,66
6643,66
3840,65
54972,65
81669,65
7798,65
9330,65
10802,65
112770,65
10801,65
27429,65
55454,65
1788,65
89,65
6745,65
11273,65
117159,65
56259,65
10055,65
4846,65
9261,65
80776,65
9274,65
8411,65
57794,65
444,65
10526,65
80005,65
11344,65
55342,65
167227,65
254958,65
54737,65
6624,65
25865,65
23165,65
353132,65
55054,65
571,65
8874,65
2976,65
55967,65
9100,65
860,65
405,65
10857,65
56616,65
10138,65
6564,65
55616,65
51637,65
9404,65
127933,65
29117,65
140809,65
81559,65
6945,65
10763,65
3043,65
8621,65
26984,65
4833,65
54461,65
7402,65
55738,65
2957,65
60412,65
3934,65
9588,64
85437,64
51586,64
64219,64
1044,64
6510,64
3163,64
7458,64
51184,64
25855,64
29950,64
4288,64
7171,64
10101,64
51574,64
29763,64
27037,64
116540,64
10040,64
9882,64
11326,64
10179,64
1670,64
4666,64
51514,64
116254,64
5198,64
8725,64
6663,64
80204,64
2066,64
6520,64
23085,64
5589,64
26512,64
3275,64
26574,64
4848,64
55422,64
51160,64
167838,64
79039,64
902,64
728378,64
10533,64
10098,64
7507,63
5977,63
29946,63
55110,63
26511,63
79902,63
29119,63
51077,63
5308,63
51282,63
56888,63
5711,63
286075,63
9150,63
2054,63
84616,63
25842,63
353142,63
8689,63
9877,63
57534,63
8894,63
100506658,63
51520,63
84733,63
5156,63
55723,63
93323,63
23633,63
7398,63
81833,63
9701,63
9529,63
55291,63
3015,63
10920,63
9631,63
50717,63
4952,63
64151,63
27338,63
6672,63
4711,63
55233,63
29108,63
127703,63
93,63
4331,63
29889,63
3018,63
5600,63
23001,63
112609,63
22870,63
10165,63
54715,63
64175,63
4804,63
8189,63
6688,63
23164,63
64781,63
5495,63
11117,63
3122,63
